David Kinley Hall:1407 W Gregory Dr, Urbana, IL 61801
Armory:505 E Armory Ave, Champaign, IL 61820
1207 W Oregon:1207 W Oregon St, Urbana, IL 61801
Bevier Hall:905 S Goodwin Ave, Urbana, IL 61801
Engineering Hall:1308 W Green St, Urbana, IL 61801
Education Building:1310 S 6th St, Champaign, IL 61820
Transportation Building:104 S Mathews Ave, Urbana, IL 61801
Foreign Languages Building:707 S Mathews Ave, Urbana, IL 61801
Agricultural Engr Sciences Bld:1301 W Gregory Dr, Urbana, IL 61801
Turner Hall:1102 S Goodwin Ave, Urbana, IL 61801
Business Instructional Fac:515 E Gregory Dr, Champaign, IL 61820
Wohlers Hall:1206 S 6th St, Champaign, IL 61820
ACES Lib, Info & Alum Ctr:1101 S Goodwin Ave, Urbana, IL 61801
Mumford Hall:1301 W Gregory Dr, Urbana, IL 61801
Animal Sciences Laboratory:1207 W Gregory Dr, Urbana, IL 61801
Speech & Hearing Science Bldg:901 S 6th St, Champaign, IL 61820
English Building:608 S Wright St, Urbana, IL 61801
Huff Hall:1206 S 4th St, Champaign, IL 61820
Gregory Hall:810 S Wright St, Urbana, IL 61801
Weston Hall:204 E Peabody Dr, Champaign, IL 61820
Mechanical Engineering Bldg:1206 W Green St, Urbana, IL 61801
Architecture Building:608 Lorado Taft Dr, Champaign, IL 61820
Lincoln Hall:702 S Wright St, Urbana, IL 61801
Siebel Center for Comp Sci:201 N Goodwin Ave, Urbana, IL 61801
Materials Science & Eng Bld:1304 W Green St, Urbana, IL 61801
Ceramics Building:105 S Goodwin Ave, Urbana, IL 61801
Talbot Laboratory:104 S Wright St, Urbana, IL 61801
Burrill Hall:407 S Goodwin Ave, Urbana, IL 61801
Psychology Building:603 E Daniel St, Champaign, IL 61820
Digital Computer Laboratory:1304 W Springfield Ave, Urbana, IL 61801
Music Building:1114 W Nevada St, Urbana, IL 61801
Illini Hall:725 S Wright St, Champaign, IL 61820
Davenport Hall:607 S Mathews Ave, Urbana, IL 61801
Art and Design Building:408 E Peabody Dr, Champaign, IL 61820
Stock Pavilion:1402 W Pennsylvania Ave, Urbana, IL 61801
Foellinger Auditorium:709 S Mathews Ave, Urbana, IL 61801
